image_name,cve,scanners
ubuntu,CVE-2016-2781,grype+snyk+trivy
ubuntu,CVE-2023-4016,grype+snyk+trivy
ubuntu,CVE-2023-2975,grype+snyk+trivy
ubuntu,CVE-2016-20013,grype+snyk+trivy
ubuntu,CVE-2022-4899,grype+snyk+trivy
ubuntu,CVE-2022-3715,grype+snyk+trivy
ubuntu,CVE-2023-29383,grype+snyk+trivy
ubuntu,CVE-2023-36054,grype+snyk+trivy
ubuntu,CVE-2017-11164,grype+snyk+trivy
ubuntu,CVE-2022-3219,grype+snyk+trivy
node,CVE-2018-9996,grype+snyk+trivy
node,CVE-2018-12928,grype+trivy
node,CVE-2019-19378,grype+trivy
node,CVE-2022-3238,grype+trivy
node,CVE-2019-1010022,grype+snyk+trivy
node,CVE-2023-36191,grype+snyk+trivy
node,CVE-2022-27943,grype+snyk+trivy
node,CVE-2023-24329,grype+snyk+trivy
node,CVE-2023-1289,grype+snyk+trivy
node,CVE-2019-16231,grype+trivy
node,CVE-2018-6829,grype+snyk+trivy
node,CVE-2012-0039,grype+snyk+trivy
node,CVE-2022-1115,grype+snyk+trivy
node,CVE-2019-19070,grype+trivy
node,CVE-2023-4147,grype+trivy
node,CVE-2017-13694,grype+trivy
node,CVE-2016-9116,grype+snyk+trivy
node,CVE-2023-2176,grype+trivy
node,CVE-2018-18064,grype+snyk+trivy
node,CVE-2023-3164,grype+snyk+trivy
node,CVE-2008-2544,grype+trivy
node,CVE-2007-3996,grype+snyk+trivy
node,CVE-2017-9117,grype+snyk+trivy
node,CVE-2023-1194,grype+trivy
node,CVE-2023-4132,grype+trivy
node,CVE-2007-6755,grype+snyk+trivy
node,CVE-2023-22490,trivy
node,CVE-2019-6462,grype+snyk+trivy
node,CVE-2023-35827,grype+trivy
node,CVE-2017-11754,grype+snyk+trivy
node,CVE-2011-4916,grype+trivy
node,CVE-2019-1010024,grype+snyk+trivy
node,CVE-2005-3660,grype+trivy
node,CVE-2023-37453,grype+trivy
node,CVE-2022-44032,grype+trivy
node,CVE-2007-5686,grype+snyk+trivy
node,CVE-2011-4915,grype+trivy
node,CVE-2010-4756,grype+snyk+trivy
node,CVE-2023-3817,grype+snyk+trivy
node,CVE-2013-7445,grype+trivy
node,CVE-2021-3714,grype+trivy
node,CVE-2023-4128,grype+trivy
node,CVE-2016-9113,grype+snyk+trivy
node,CVE-2019-9192,grype+snyk+trivy
node,CVE-2022-0563,grype+snyk+trivy
node,CVE-2009-3546,grype+snyk+trivy
node,CVE-2018-6952,grype+snyk+trivy
node,CVE-2020-27843,trivy
node,CVE-2023-40283,grype+trivy
node,CVE-2023-23946,trivy
node,CVE-2021-29338,trivy
node,CVE-2016-9580,grype+snyk+trivy
node,CVE-2021-3864,grype+trivy
node,CVE-2015-3276,grype+snyk+trivy
node,CVE-2023-31437,grype+snyk+trivy
node,CVE-2017-5563,grype+snyk+trivy
node,CVE-2018-10126,grype+snyk+trivy
node,CVE-2023-3611,grype+trivy
node,CVE-2023-37454,grype+trivy
node,CVE-2023-4004,grype+trivy
node,CVE-2023-3863,grype+trivy
node,CVE-2010-0928,grype+snyk+trivy
node,CVE-2023-23039,grype+trivy
node,CVE-2018-16375,grype+snyk+trivy
node,CVE-2023-3446,grype+snyk+trivy
node,CVE-2023-26966,grype+snyk+trivy
node,CVE-2018-17977,grype+trivy
node,CVE-2020-14145,grype+snyk+trivy
node,CVE-2020-36325,grype+snyk+trivy
node,CVE-2018-20847,trivy
node,CVE-2022-24975,grype+snyk+trivy
node,CVE-2018-18483,grype+snyk+trivy
node,CVE-2023-27102,grype+snyk+trivy
node,CVE-2022-3213,grype+snyk+trivy
node,CVE-2023-34152,grype+snyk+trivy
node,CVE-2020-15719,grype+snyk+trivy
node,CVE-2017-14988,grype+snyk+trivy
node,CVE-2019-12973,trivy
node,CVE-2016-9114,grype+snyk+trivy
node,CVE-2023-2975,grype+snyk+trivy
node,CVE-2023-25815,grype+snyk+trivy
node,CVE-2023-3316,grype+snyk+trivy
node,CVE-2023-23005,grype+trivy
node,CVE-2020-27824,trivy
node,CVE-2022-25265,grype+trivy
node,CVE-2007-2768,grype+snyk+trivy
node,CVE-2020-27823,trivy
node,CVE-2018-1000021,grype+snyk+trivy
node,CVE-2023-3618,grype+snyk+trivy
node,CVE-2009-3293,grype+snyk+trivy
node,CVE-2023-1906,grype+snyk+trivy
node,CVE-2018-1121,grype+trivy
node,CVE-2018-15919,grype+snyk+trivy
node,CVE-2005-2541,grype+snyk+trivy
node,CVE-2007-6761,grype+trivy
node,CVE-2014-9900,grype+trivy
node,CVE-2023-4133,grype+trivy
node,CVE-2007-3719,grype+trivy
node,CVE-2023-4134,grype+trivy
node,CVE-2008-3234,grype+snyk+trivy
node,CVE-2011-4116,grype+snyk+trivy
node,CVE-2017-17973,grype+snyk+trivy
node,CVE-2022-1210,grype+snyk+trivy
node,CVE-2023-26242,grype+trivy
node,CVE-2019-19449,grype+trivy
node,CVE-2022-44033,grype+trivy
node,CVE-2018-20846,grype+snyk+trivy
node,CVE-2019-12379,grype+trivy
node,CVE-2023-31439,grype+snyk+trivy
node,CVE-2016-9581,grype+snyk+trivy
node,CVE-2023-2157,grype+snyk+trivy
node,CVE-2023-4016,grype+snyk+trivy
node,CVE-2010-2632,grype+snyk+trivy
node,CVE-2023-31083,grype+trivy
node,CVE-2007-3477,grype+snyk+trivy
node,CVE-2021-31879,grype+snyk+trivy
node,CVE-2023-28531,grype+snyk+trivy
node,CVE-2021-32256,grype+snyk+trivy
node,CVE-2023-1916,grype+snyk+trivy
node,CVE-2005-0406,grype+snyk+trivy
node,CVE-2017-13693,grype+trivy
node,CVE-2019-1010023,grype+snyk+trivy
node,CVE-2016-10506,grype+snyk+trivy
node,CVE-2023-3195,grype+snyk+trivy
node,CVE-2010-4563,grype+trivy
node,CVE-2016-8660,grype+trivy
node,CVE-2022-45885,grype+trivy
node,CVE-2016-8862,grype+snyk+trivy
node,CVE-2018-5727,trivy
node,CVE-2012-4542,grype+trivy
node,CVE-2017-13716,grype+snyk+trivy
node,CVE-2023-1972,grype+snyk+trivy
node,CVE-2022-4543,grype+trivy
node,CVE-2021-3847,grype+trivy
node,CVE-2023-1076,grype+trivy
node,CVE-2017-7275,grype+snyk+trivy
node,CVE-2015-2877,grype+trivy
node,CVE-2019-11191,grype+trivy
node,CVE-2023-31081,grype+trivy
node,CVE-2021-45261,grype+snyk+trivy
